   4.38000	   0.01795
   1.36000	   0.47456
   3.45453	   0.02000
   0.03414	   0.66382
   1.28000	   1.06000
   1.59337	   0.65000
   0.18344	   0.76000
   0.22000	   0.76000
   3.38580	   0.02000
   3.12251	   0.02000
   1.28000	   1.26190
   3.82578	   0.02000
   1.36000	   0.61985
   0.04609	   0.84216
   0.51702	   0.02000
   0.02308	   0.55000
   0.15098	   0.76000
   8.34269	   0.01741
   0.03000	   0.80545
   1.28000	   1.06000
   1.28000	   0.93944
   4.38000	   0.01669
   4.38000	   0.00679
   3.30874	   0.01888
   4.38000	   0.02000
   1.36000	   1.04864
   0.25599	   0.76000
   1.36000	   0.65000
   0.99346	   0.57327
   0.71205	   0.65000
   4.71267	   0.01838
   4.38000	   0.02000
   0.22000	   0.76000
   1.36000	   0.44634
   1.75153	   0.02000
   7.07421	   0.02000
   1.28000	   1.32524
   0.03503	   1.00154
   0.27095	   0.79917
   7.13538	   0.02229
